slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag
quicknode-mainnet-scale-full-archive,,!offer:quicknode-scale-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
quicknode-mainnet-scale-recent-state,,!offer:quicknode-scale-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
tatum-mainnet-free-recent-state,,!offer:tatum-free-recent-state,"[""[Website](https://tatum.io/chain/sonic)"",""[Docs](https://docs.tatum.io/reference/rpc-sonic)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
tatum-mainnet-pay-as-you-go-full-archive,,!offer:tatum-pay-as-you-go-full-archive,"[""[Buy](https://tatum.io/pricing)"",""[Docs](https://docs.tatum.io/reference/rpc-sonic)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
tatum-mainnet-pay-as-you-go-recent-state,,!offer:tatum-pay-as-you-go-recent-state,"[""[Buy](https://tatum.io/pricing)"",""[Docs](https://docs.tatum.io/reference/rpc-sonic)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
tatum-testnet-free-recent-state,,!offer:tatum-free-recent-state,"[""[Website](https://tatum.io/chain/sonic)"",""[Docs](https://docs.tatum.io/reference/rpc-sonic)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
tatum-testnet-pay-as-you-go-full-archive,,!offer:tatum-pay-as-you-go-full-archive,"[""[Buy](https://tatum.io/pricing)"",""[Docs](https://docs.tatum.io/reference/rpc-sonic)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
tatum-testnet-pay-as-you-go-recent-state,,!offer:tatum-pay-as-you-go-recent-state,"[""[Buy](https://tatum.io/pricing)"",""[Docs](https://docs.tatum.io/reference/rpc-sonic)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
tenderly-mainnet-free-recent-state,,!offer:tenderly-free-recent-state,"[""[Website](https://tenderly.co/)"",""[Docs](https://docs.tenderly.co/node/rpc-reference/sonic)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
tenderly-mainnet-pay-as-you-go-recent-state,,!offer:tenderly-pay-as-you-go-recent-state,"[""[Buy](https://tenderly.co/pricing)"",""[Docs](https://docs.tenderly.co/node/rpc-reference/sonic)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
tenderly-testnet-free-recent-state,,!offer:tenderly-free-recent-state,"[""[Website](https://tenderly.co/)"",""[Docs](https://docs.tenderly.co/node/rpc-reference/sonic-blaze)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
tenderly-testnet-pay-as-you-go-recent-state,,!offer:tenderly-pay-as-you-go-recent-state,"[""[Buy](https://tenderly.co/pricing)"",""[Docs](https://docs.tenderly.co/node/rpc-reference/sonic-blaze)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
thegraph-mainnet-free-indexer,,!offer:thegraph-free-indexer,"[""[Docs](https://thegraph.com/docs/en/supported-networks/sonic/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
thegraph-mainnet-pay-as-you-go-indexer,,!offer:thegraph-pay-as-you-go-indexer,"[""[Buy](https://thegraph.com/studio-pricing/)"",""[Docs](https://thegraph.com/docs/en/supported-networks/sonic/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
thirdweb-mainnet-free-recent-state,,!offer:thirdweb-free-recent-state,"[""[Website](https://thirdweb.com/sonic)"",""[Docs](https://portal.thirdweb.com/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
thirdweb-mainnet-pay-as-you-go-recent-state,,!offer:thirdweb-pay-as-you-go-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
thirdweb-testnet-free-recent-state,,!offer:thirdweb-free-recent-state,"[""[Website](https://thirdweb.com/sonic-blaze-testnet)"",""[Docs](https://portal.thirdweb.com/)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
thirdweb-testnet-pay-as-you-go-recent-state,,!offer:thirdweb-pay-as-you-go-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
